UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 16:24 ?        00:00:00 /sbin/init splash
root           2       0  0 16:24 ?        00:00:00 [kthreadd]
root           3       2  0 16:24 ?        00:00:00 [rcu_gp]
root           4       2  0 16:24 ?        00:00:00 [rcu_par_gp]
root           5       2  0 16:24 ?        00:00:00 [slub_flushwq]
root           6       2  0 16:24 ?        00:00:00 [netns]
root           8       2  0 16:24 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 16:24 ?        00:00:00 [kworker/u8:0-flush-254:0]
root          10       2  0 16:24 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 16:24 ?        00:00:00 [rcu_tasks_rude_kthread]
root          12       2  0 16:24 ?        00:00:00 [rcu_tasks_trace_kthread]
root          13       2  0 16:24 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 16:24 ?        00:00:00 [rcu_sched]
root          15       2  0 16:24 ?        00:00:00 [migration/0]
root          17       2  0 16:24 ?        00:00:00 [cpuhp/0]
root          18       2  0 16:24 ?        00:00:00 [cpuhp/1]
root          19       2  0 16:24 ?        00:00:00 [migration/1]
root          20       2  0 16:24 ?        00:00:00 [ksoftirqd/1]
root          22       2  0 16:24 ?        00:00:00 [kworker/1:0H-events_highpri]
root          23       2  0 16:24 ?        00:00:00 [cpuhp/2]
root          24       2  0 16:24 ?        00:00:00 [migration/2]
root          25       2  0 16:24 ?        00:00:00 [ksoftirqd/2]
root          26       2  0 16:24 ?        00:00:00 [kworker/2:0-cgroup_destroy]
root          27       2  0 16:24 ?        00:00:00 [kworker/2:0H-events_highpri]
root          28       2  0 16:24 ?        00:00:00 [cpuhp/3]
root          29       2  0 16:24 ?        00:00:00 [migration/3]
root          30       2  0 16:24 ?        00:00:00 [ksoftirqd/3]
root          31       2  0 16:24 ?        00:00:00 [kworker/3:0-mm_percpu_wq]
root          32       2  0 16:24 ?        00:00:00 [kworker/3:0H-events_highpri]
root          34       2  0 16:24 ?        00:00:00 [kdevtmpfs]
root          35       2  0 16:24 ?        00:00:00 [inet_frag_wq]
root          36       2  0 16:24 ?        00:00:00 [kauditd]
root          37       2  0 16:24 ?        00:00:00 [khungtaskd]
root          38       2  0 16:24 ?        00:00:00 [oom_reaper]
root          39       2  0 16:24 ?        00:00:00 [kworker/u8:1-flush-254:0]
root          40       2  0 16:24 ?        00:00:00 [writeback]
root          41       2  0 16:24 ?        00:00:00 [kcompactd0]
root          42       2  0 16:24 ?        00:00:00 [ksmd]
root          44       2  0 16:24 ?        00:00:00 [khugepaged]
root          45       2  0 16:24 ?        00:00:00 [kintegrityd]
root          46       2  0 16:24 ?        00:00:00 [kblockd]
root          47       2  0 16:24 ?        00:00:00 [blkcg_punt_bio]
root          48       2  0 16:24 ?        00:00:00 [kworker/1:1-ipv6_addrconf]
root          49       2  0 16:24 ?        00:00:00 [tpm_dev_wq]
root          50       2  0 16:24 ?        00:00:00 [edac-poller]
root          51       2  0 16:24 ?        00:00:00 [devfreq_wq]
root          52       2  0 16:24 ?        00:00:00 [watchdogd]
root          53       2  0 16:24 ?        00:00:00 [kworker/3:1H-kblockd]
root          54       2  0 16:24 ?        00:00:00 [kswapd0]
root          62       2  0 16:24 ?        00:00:00 [kthrotld]
root          64       2  0 16:24 ?        00:00:00 [irq/49-ACPI:Ged]
root          65       2  0 16:24 ?        00:00:00 [acpi_thermal_pm]
root          66       2  0 16:24 ?        00:00:00 [xenbus_probe]
root          67       2  0 16:24 ?        00:00:00 [mld]
root          68       2  0 16:24 ?        00:00:00 [ipv6_addrconf]
root          73       2  0 16:24 ?        00:00:00 [kstrp]
root          78       2  0 16:24 ?        00:00:00 [zswap-shrink]
root          79       2  0 16:24 ?        00:00:00 [kworker/u9:0]
root          81       2  0 16:24 ?        00:00:00 [kworker/2:2-events]
root         147       2  0 16:24 ?        00:00:00 [kworker/1:1H-kblockd]
root         162       2  0 16:24 ?        00:00:00 [kworker/0:1H-kblockd]
root         168       2  0 16:24 ?        00:00:00 [kworker/2:1H-kblockd]
root         175       2  0 16:24 ?        00:00:00 [kworker/1:2-cgroup_destroy]
root         201       2  0 16:24 ?        00:00:00 [kworker/0:2-ipv6_addrconf]
root         247       2  0 16:24 ?        00:00:00 [jbd2/vda2-8]
root         248       2  0 16:24 ?        00:00:00 [ext4-rsv-conver]
root         268       2  0 16:24 ?        00:00:00 [hwrng]
root         309       1  0 16:24 ?        00:00:00 /lib/systemd/systemd-journald
root         324       2  0 16:24 ?        00:00:00 [kworker/u8:3-events_unbound]
root         325       2  0 16:24 ?        00:00:00 [psimon]
root         348       1  0 16:24 ?        00:00:00 /lib/systemd/systemd-udevd
root         358       2  0 16:24 ?        00:00:00 [psimon]
root         508       1  0 16:24 ?        00:00:00 dhclient -4 -v -i -pf /run/dhclient.eth0.pid -lf /var/lib/dhcp/dhclient.eth0.leases -I -df /var/lib/dhcp/dhclient6.eth0.leases eth0
root         557       1  0 16:24 ?        00:00:00 /usr/sbin/haveged --Foreground --verbose=1
systemd+     559       1  0 16:24 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         571       2  0 16:24 ?        00:00:00 [psimon]
message+     572       1  0 16:24 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      574       1  0 16:24 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         575       1  0 16:24 ?        00:00:00 /usr/sbin/qemu-ga
root         576       1  0 16:24 ?        00:00:00 /lib/systemd/systemd-logind
root         590       2  0 16:24 ?        00:00:00 [psimon]
root         602       1  0 16:24 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         614       1  0 16:24 ?        00:00:00 /usr/sbin/ModemManager
root         782       2  0 16:24 ?        00:00:00 [rpciod]
root         783       2  0 16:24 ?        00:00:00 [xprtiod]
root         785       1  0 16:24 ?        00:00:00 /usr/sbin/cron -f
root         788       1  0 16:24 ?        00:00:00 /usr/sbin/lightdm
root         799     788  0 16:24 tty7     00:00:04 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root         800       1  0 16:24 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root         801       1  0 16:24 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
root         810       2  0 16:24 ?        00:00:00 [scsi_eh_0]
root         811       2  0 16:24 ?        00:00:00 [scsi_tmf_0]
root         812       2  0 16:24 ?        00:00:00 [usb-storage]
root         813       2  0 16:24 ?        00:00:00 [uas]
root         833       2  0 16:24 ?        00:00:00 [psimon]
rtkit        863       1  0 16:24 ?        00:00:00 /usr/libexec/rtkit-daemon
root         947     788  0 16:26 ?        00:00:00 lightdm --session-child 15 26
daniel       954       1  0 16:26 ?        00:00:00 /lib/systemd/systemd --user
daniel       955     954  0 16:26 ?        00:00:00 (sd-pam)
root         969       2  0 16:26 ?        00:00:00 [psimon]
daniel       971     954  0 16:26 ?        00:00:00 /usr/bin/pipewire
daniel       972     954  0 16:26 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
daniel       973     954  0 16:26 ?        00:00:00 /usr/bin/wireplumber
daniel       974     954  0 16:26 ?        00:00:00 /usr/bin/pipewire-pulse
daniel       976     954  0 16:26 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
daniel       977     954  0 16:26 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
daniel      1003     947  0 16:26 ?        00:00:00 xfce4-session
daniel      1048    1003  0 16:26 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
daniel      1058     954  0 16:26 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
daniel      1065    1058  0 16:26 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
daniel      1077     954  0 16:26 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
daniel      1089     954  0 16:26 ?        00:00:00 /usr/bin/gpg-agent --supervised
daniel      1091    1003  0 16:26 ?        00:00:01 xfwm4 --display :0.0 --sm-client-id 28db6e4f0-61fc-4dec-a7a1-ba286c2fe79d
daniel      1095     954  0 16:26 ?        00:00:00 /usr/libexec/gvfsd
